date,latitude,longitude,precipitacao_mm
2017-01-01,-31.5,289.0,0.0
2017-01-02,-31.5,289.0,0.0
2017-01-03,-31.5,289.0,0.0
2017-01-04,-31.5,289.0,0.0
2017-01-05,-31.5,289.0,0.0
2017-01-06,-31.5,289.0,0.0
2017-01-07,-31.5,289.0,0.0
2017-01-08,-31.5,289.0,0.0
2017-01-09,-31.5,289.0,0.0
2017-01-10,-31.5,289.0,0.0
2017-01-11,-31.5,289.0,0.0
2017-01-12,-31.5,289.0,0.0
2017-01-13,-31.5,289.0,0.0
2017-01-14,-31.5,289.0,0.0
2017-01-15,-31.5,289.0,0.0
2017-01-16,-31.5,289.0,0.0
2017-01-17,-31.5,289.0,0.0
2017-01-18,-31.5,289.0,0.0
2017-01-19,-31.5,289.0,0.0
2017-01-20,-31.5,289.0,0.0
2017-01-21,-31.5,289.0,0.0
2017-01-22,-31.5,289.0,0.0
2017-01-23,-31.5,289.0,0.0
2017-01-24,-31.5,289.0,0.0
2017-01-25,-31.5,289.0,0.0
2017-01-26,-31.5,289.0,0.0
2017-01-27,-31.5,289.0,0.0
2017-01-28,-31.5,289.0,0.0
2017-01-29,-31.5,289.0,0.0
2017-01-30,-31.5,289.0,0.0
2017-01-31,-31.5,289.0,0.0
2017-02-01,-31.5,289.0,0.0
2017-02-02,-31.5,289.0,0.0
2017-02-03,-31.5,289.0,0.0
2017-02-04,-31.5,289.0,0.0216
2017-02-05,-31.5,289.0,0.0
2017-02-06,-31.5,289.0,0.0
2017-02-07,-31.5,289.0,0.0
2017-02-08,-31.5,289.0,0.0
2017-02-09,-31.5,289.0,0.0
2017-02-10,-31.5,289.0,0.0
2017-02-11,-31.5,289.0,0.0
2017-02-12,-31.5,289.0,0.0
2017-02-13,-31.5,289.0,0.0
2017-02-14,-31.5,289.0,0.0
2017-02-15,-31.5,289.0,0.0
2017-02-16,-31.5,289.0,0.0
2017-02-17,-31.5,289.0,0.0
2017-02-18,-31.5,289.0,0.0
2017-02-19,-31.5,289.0,0.0
2017-02-20,-31.5,289.0,0.0
2017-02-21,-31.5,289.0,0.0
2017-02-22,-31.5,289.0,0.0
2017-02-23,-31.5,289.0,0.0
2017-02-24,-31.5,289.0,0.0
2017-02-25,-31.5,289.0,0.0
2017-02-26,-31.5,289.0,0.0
2017-02-27,-31.5,289.0,0.0
2017-02-28,-31.5,289.0,0.0
2017-03-01,-31.5,289.0,0.0
2017-03-02,-31.5,289.0,0.0
2017-03-03,-31.5,289.0,0.0
2017-03-04,-31.5,289.0,0.0
2017-03-05,-31.5,289.0,0.0
2017-03-06,-31.5,289.0,0.0
2017-03-07,-31.5,289.0,0.0
2017-03-08,-31.5,289.0,0.0
2017-03-09,-31.5,289.0,0.0
2017-03-10,-31.5,289.0,0.0
2017-03-11,-31.5,289.0,0.0
2017-03-12,-31.5,289.0,0.0
2017-03-13,-31.5,289.0,0.0
2017-03-14,-31.5,289.0,0.0
2017-03-15,-31.5,289.0,0.0
2017-03-16,-31.5,289.0,0.0
2017-03-17,-31.5,289.0,0.0
2017-03-18,-31.5,289.0,0.0
2017-03-19,-31.5,289.0,0.0
2017-03-20,-31.5,289.0,0.0
2017-03-21,-31.5,289.0,0.0
2017-03-22,-31.5,289.0,0.0
2017-03-23,-31.5,289.0,0.0
2017-03-24,-31.5,289.0,0.0
2017-03-25,-31.5,289.0,0.0
2017-03-26,-31.5,289.0,0.0
2017-03-27,-31.5,289.0,0.0
2017-03-28,-31.5,289.0,0.0
2017-03-29,-31.5,289.0,0.0
2017-03-30,-31.5,289.0,0.0
2017-03-31,-31.5,289.0,0.0
2017-04-01,-31.5,289.0,0.0
2017-04-02,-31.5,289.0,0.0
2017-04-03,-31.5,289.0,0.0
2017-04-04,-31.5,289.0,0.0
2017-04-05,-31.5,289.0,0.0
2017-04-06,-31.5,289.0,0.0
2017-04-07,-31.5,289.0,0.0
2017-04-08,-31.5,289.0,0.0
2017-04-09,-31.5,289.0,0.0
2017-04-10,-31.5,289.0,0.0
2017-04-11,-31.5,289.0,0.0
2017-04-12,-31.5,289.0,0.0
2017-04-13,-31.5,289.0,0.0
2017-04-14,-31.5,289.0,0.0
2017-04-15,-31.5,289.0,0.0
2017-04-16,-31.5,289.0,0.0
2017-04-17,-31.5,289.0,0.0
2017-04-18,-31.5,289.0,0.25919998
2017-04-19,-31.5,289.0,0.0
2017-04-20,-31.5,289.0,0.0648
2017-04-21,-31.5,289.0,0.0
2017-04-22,-31.5,289.0,0.0
2017-04-23,-31.5,289.0,0.0
2017-04-24,-31.5,289.0,0.0
2017-04-25,-31.5,289.0,0.0
2017-04-26,-31.5,289.0,0.0
2017-04-27,-31.5,289.0,0.0
2017-04-28,-31.5,289.0,0.0
2017-04-29,-31.5,289.0,0.0
2017-04-30,-31.5,289.0,0.0
2017-05-01,-31.5,289.0,0.0
2017-05-02,-31.5,289.0,0.0
2017-05-03,-31.5,289.0,0.0
2017-05-04,-31.5,289.0,0.0
2017-05-05,-31.5,289.0,0.0
2017-05-06,-31.5,289.0,0.0
2017-05-07,-31.5,289.0,0.3672
2017-05-08,-31.5,289.0,0.1512
2017-05-09,-31.5,289.0,0.0
2017-05-10,-31.5,289.0,1.2744
2017-05-11,-31.5,289.0,93.50639
2017-05-12,-31.5,289.0,47.5632
2017-05-13,-31.5,289.0,0.21599999
2017-05-14,-31.5,289.0,0.0
2017-05-15,-31.5,289.0,0.0
2017-05-16,-31.5,289.0,0.0
2017-05-17,-31.5,289.0,0.9288
2017-05-18,-31.5,289.0,17.603998
2017-05-19,-31.5,289.0,0.0
2017-05-20,-31.5,289.0,0.0
2017-05-21,-31.5,289.0,0.0
2017-05-22,-31.5,289.0,0.0
2017-05-23,-31.5,289.0,6.4151998
2017-05-24,-31.5,289.0,13.521599
2017-05-25,-31.5,289.0,22.356
